ubica_geo,entidad,desc_ent,municipio,desc_mun
"01001","01","Aguascalientes","001","Aguascalientes"
"01002","01","Aguascalientes","002","Asientos"
"01003","01","Aguascalientes","003","Calvillo"
"01005","01","Aguascalientes","005","Jesús María"
"01006","01","Aguascalientes","006","Pabellón De Arteaga"
"01007","01","Aguascalientes","007","Rincón De Romos"
"01008","01","Aguascalientes","008","San José De Gracia"
"01009","01","Aguascalientes","009","Tepezalá"
"01010","01","Aguascalientes","010","El Llano"
"01011","01","Aguascalientes","011","San Francisco De Los Romo"
"02001","02","Baja California","001","Ensenada"
"02002","02","Baja California","002","Mexicali"
"02003","02","Baja California","003","Tecate"
"02004","02","Baja California","004","Tijuana"
"02005","02","Baja California","005","Playas De Rosarito"
"02006","02","Baja California","006","San Quintín"
"03001","03","Baja California Sur","001","Comondú"
"03002","03","Baja California Sur","002","Mulegé"
"03003","03","Baja California Sur","003","La Paz"
"03008","03","Baja California Sur","008","Los Cabos"
"03009","03","Baja California Sur","009","Loreto"
"04001","04","Campeche","001","Calkiní"
"04002","04","Campeche","002","Campeche"
"04003","04","Campeche","003","Carmen"
"04004","04","Campeche","004","Champotón"
"04005","04","Campeche","005","Hecelchakán"
"04006","04","Campeche","006","Hopelchén"
"04008","04","Campeche","008","Tenabo"
"04009","04","Campeche","009","Escárcega"
"04010","04","Campeche","010","Calakmul"
"04011","04","Campeche","011","Candelaria"
"04012","04","Campeche","012","Seybaplaya"
"05001","05","Coahuila de Zaragoza","001","Abasolo"
"05002","05","Coahuila de Zaragoza","002","Acuña"
"05003","05","Coahuila de Zaragoza","003","Allende"
"05004","05","Coahuila de Zaragoza","004","Arteaga"
"05006","05","Coahuila de Zaragoza","006","Castaños"
"05007","05","Coahuila de Zaragoza","007","Cuatro Ciénegas"
"05008","05","Coahuila de Zaragoza","008","Escobedo"
"05009","05","Coahuila de Zaragoza","009","Francisco I. Madero"
"05010","05","Coahuila de Zaragoza","010","Frontera"
"05011","05","Coahuila de Zaragoza","011","General Cepeda"
"05012","05","Coahuila de Zaragoza","012","Guerrero"
"05014","05","Coahuila de Zaragoza","014","Jiménez"
"05017","05","Coahuila de Zaragoza","017","Matamoros"
"05018","05","Coahuila de Zaragoza","018","Monclova"
"05019","05","Coahuila de Zaragoza","019","Morelos"
"05020","05","Coahuila de Zaragoza","020","Múzquiz"
"05021","05","Coahuila de Zaragoza","021","Nadadores"
"05022","05","Coahuila de Zaragoza","022","Nava"
"05023","05","Coahuila de Zaragoza","023","Ocampo"
"05024","05","Coahuila de Zaragoza","024","Parras"
"05025","05","Coahuila de Zaragoza","025","Piedras Negras"
"05027","05","Coahuila de Zaragoza","027","Ramos Arizpe"
"05028","05","Coahuila de Zaragoza","028","Sabinas"
"05030","05","Coahuila de Zaragoza","030","Saltillo"
"05032","05","Coahuila de Zaragoza","032","San Juan De Sabinas"
"05033","05","Coahuila de Zaragoza","033","San Pedro"
"05035","05","Coahuila de Zaragoza","035","Torreón"
"05036","05","Coahuila de Zaragoza","036","Viesca"
"05038","05","Coahuila de Zaragoza","038","Zaragoza"
"06001","06","Colima","001","Armería"
"06002","06","Colima","002","Colima"
"06003","06","Colima","003","Comala"
"06004","06","Colima","004","Coquimatlán"
"06005","06","Colima","005","Cuauhtémoc"
"06006","06","Colima","006","Ixtlahuacán"
"06007","06","Colima","007","Manzanillo"
"06008","06","Colima","008","Minatitlán"
"06009","06","Colima","009","Tecomán"
"06010","06","Colima","010","Villa De Álvarez"
"07002","07","Chiapas","002","Acala"
"07003","07","Chiapas","003","Acapetahua"
"07005","07","Chiapas","005","Amatán"
"07015","07","Chiapas","015","Cacahoatán"
"07017","07","Chiapas","017","Cintalapa"
"07019","07","Chiapas","019","Comitán De Domínguez"
"07021","07","Chiapas","021","Copainalá"
"07023","07","Chiapas","023","Chamula"
"07027","07","Chiapas","027","Chiapa De Corzo"
"07031","07","Chiapas","031","Chilón"
"07040","07","Chiapas","040","Huixtla"
"07041","07","Chiapas","041","La Independencia"
"07044","07","Chiapas","044","Ixtapa"
"07046","07","Chiapas","046","Jiquipilas"
"07051","07","Chiapas","051","Mapastepec"
"07052","07","Chiapas","052","Las Margaritas"
"07059","07","Chiapas","059","Ocosingo"
"07061","07","Chiapas","061","Ocozocoautla De Espinosa"
"07062","07","Chiapas","062","Ostuacán"
"07064","07","Chiapas","064","Oxchuc"
"07065","07","Chiapas","065","Palenque"
"07067","07","Chiapas","067","Pantepec"
"07068","07","Chiapas","068","Pichucalco"
"07069","07","Chiapas","069","Pijijiapan"
"07072","07","Chiapas","072","Pueblo Nuevo Solistahuacán"
"07074","07","Chiapas","074","Reforma"
"07077","07","Chiapas","077","Salto De Agua"
"07078","07","Chiapas","078","San Cristóbal De Las Casas"
"07079","07","Chiapas","079","San Fernando"
"07084","07","Chiapas","084","Solosuchiapa"
"07089","07","Chiapas","089","Tapachula"
"07090","07","Chiapas","090","Tapalapa"
"07093","07","Chiapas","093","Tenejapa"
"07096","07","Chiapas","096","Tila"
"07097","07","Chiapas","097","Tonalá"
"07099","07","Chiapas","099","La Trinitaria"
"07100","07","Chiapas","100","Tumbalá"
"07101","07","Chiapas","101","Tuxtla Gutiérrez"
"07102","07","Chiapas","102","Tuxtla Chico"
"07105","07","Chiapas","105","Unión Juárez"
"07107","07","Chiapas","107","Villa Corzo"
"07108","07","Chiapas","108","Villaflores"
"07109","07","Chiapas","109","Yajalón"
"07110","07","Chiapas","110","San Lucas"
"07111","07","Chiapas","111","Zinacantán"
"07114","07","Chiapas","114","Benemérito De Las Américas"
"07115","07","Chiapas","115","Maravilla Tenejapa"
"07118","07","Chiapas","118","San Andrés Duraznal"
"07124","07","Chiapas","124","Mezcalapa"
"08001","08","Chihuahua","001","Ahumada"
"08002","08","Chihuahua","002","Aldama"
"08003","08","Chihuahua","003","Allende"
"08004","08","Chihuahua","004","Aquiles Serdán"
"08005","08","Chihuahua","005","Ascensión"
"08006","08","Chihuahua","006","Bachíniva"
"08007","08","Chihuahua","007","Balleza"
"08008","08","Chihuahua","008","Batopilas De Manuel Gómez Morín"
"08009","08","Chihuahua","009","Bocoyna"
"08010","08","Chihuahua","010","Buenaventura"
"08011","08","Chihuahua","011","Camargo"
"08012","08","Chihuahua","012","Carichí"
"08013","08","Chihuahua","013","Casas Grandes"
"08017","08","Chihuahua","017","Cuauhtémoc"
"08019","08","Chihuahua","019","Chihuahua"
"08021","08","Chihuahua","021","Delicias"
"08022","08","Chihuahua","022","Dr. Belisario Domínguez"
"08026","08","Chihuahua","026","Gran Morelos"
"08027","08","Chihuahua","027","Guachochi"
"08029","08","Chihuahua","029","Guadalupe Y Calvo"
"08031","08","Chihuahua","031","Guerrero"
"08032","08","Chihuahua","032","Hidalgo Del Parral"
"08035","08","Chihuahua","035","Janos"
"08036","08","Chihuahua","036","Jiménez"
"08037","08","Chihuahua","037","Juárez"
"08038","08","Chihuahua","038","Julimes"
"08039","08","Chihuahua","039","López"
"08040","08","Chihuahua","040","Madera"
"08043","08","Chihuahua","043","Matachí"
"08044","08","Chihuahua","044","Matamoros"
"08045","08","Chihuahua","045","Meoqui"
"08048","08","Chihuahua","048","Namiquipa"
"08049","08","Chihuahua","049","Nonoava"
"08050","08","Chihuahua","050","Nuevo Casas Grandes"
"08051","08","Chihuahua","051","Ocampo"
